Kabupaten/Kota;Tempat Usaha;Nilai Penjualan;Status Badan Usaha;Kategori KBLI;;;;
Kabupaten Bondowoso;Bangunan Campuran;Rp0;Perorangan;M,N. Aktivitas Penyewaan Dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan Dan Penunjang Usaha Lainnya;;;;
Kabupaten Lamongan;Bangunan Campuran;Rp3.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Lamongan;Bangunan Campuran;Rp1.200.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Lamongan;Bangunan Campuran;Rp0;Perorangan;Penyediaan Akomodasi dan Makan Minum;;;;
Kabupaten Lamongan;Bangunan Campuran;Rp0;Perorangan;Aktivitas Jasa Lainnya;;;;
Kabupaten Lamongan;Bangunan Campuran;Rp0;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Lamongan;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Lamongan;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Lamongan;Bangunan Campuran;Rp15.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Lamongan;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Lamongan;Bangunan Campuran;Rp9.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Lamongan;Bangunan Campuran;Rp60.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Lamongan;Bangunan Khusus Usaha;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Lamongan;Bangunan Campuran;Rp0;Perorangan;Industri Pengolahan;;;;
Kabupaten Lamongan;Bangunan Campuran;Rp6.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Lamongan;Bangunan Khusus Usaha;Rp7.500.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
Kabupaten Lamongan;Bangunan Campuran;Rp6.000.000;Perorangan;"Perdagangan Besar dan Ecera; Reparasi dan Perawatan Mobil dan Sepeda Motor";;;;
